"";"X";"CODE";"codeplas";"plasnaam";"SBZ";"meetnet";"HabtypeSel";"HabtypeVel";"INSIDE_X";"INSIDE_Y";"LabSampleID";"FieldSampleID";"FieldObserver";"FieldSampleRemark";"FieldSamplingDate";"Component";"LIMSAnalysisName";"Unit";"AquaComponent";"AquaUnit";"ResultNumeric";"ResultFormatted";"ResultFormattedNumeric";"IsBelowLOQ";"IsAboveLOQ";"IsCalc";"ResultCalc";"label"
"1";7153;"WVLDIK0133";"WVLDIK0133";NA;0;"-";"-";"-";NA;NA;"24-001210";"WVLDIK0133_R";"Jo Packet";"EMPTY";2024-06-26;"pH.25";"PHH2O_TIT_W";"-";"pH_labo";"-";8,85;"8.85";8,85;FALSE;FALSE;FALSE;8,85;"pH_labo (-)"
"2";7154;"WVLDIK0133";"WVLDIK0133";NA;0;"-";"-";"-";NA;NA;"24-001210";"WVLDIK0133_R";"Jo Packet";"EMPTY";2024-06-26;"EC.25";"EC_TIT_W";"µS/cm";"EGV_tit";"µS/cm";912,8;"912.80";912,8;FALSE;FALSE;FALSE;912,8;"EGV_tit (µS/cm)"
"3";7155;"WVLDIK0133";"WVLDIK0133";NA;0;"-";"-";"-";NA;NA;"24-001210";"WVLDIK0133_R";"Jo Packet";"EMPTY";2024-06-26;"HCO3";"ALK_OEP_W";"mg/L";"HCO3_OEP";"mg/L";203,47566667;"203.48";203,48;FALSE;FALSE;FALSE;203,48;"HCO3_OEP (mg/L)"
"4";7156;"WVLDIK0133";"WVLDIK0133";NA;0;"-";"-";"-";NA;NA;"24-001210";"WVLDIK0133_R";"Jo Packet";"EMPTY";2024-06-26;"CO3";"ALK_OEP_W";"mg/L";"CO3";"mg/L";10,5;"10.50";10,5;FALSE;FALSE;FALSE;10,5;"CO3 (mg/L)"
"5";7157;"WVLDIK0133";"WVLDIK0133";NA;0;"-";"-";"-";NA;NA;"24-001210";"WVLDIK0133_R";"Jo Packet";"EMPTY";2024-06-26;"OH";"ALK_OEP_W";"mg/L";"OH";"mg/L";0;"<0.36";0,36;TRUE;FALSE;FALSE;0,18;"OH (mg/L)"
"6";7158;"WVLDIK0133";"WVLDIK0133";NA;0;"-";"-";"-";NA;NA;"24-001210";"WVLDIK0133_R";"Jo Packet";"EMPTY";2024-06-26;"Cl";"IC_ANIONEN";"mg/L";"Cl";"mg/L";145,7776;"145.78";145,78;FALSE;FALSE;FALSE;145,78;"Cl (mg/L)"
"7";7159;"WVLDIK0133";"WVLDIK0133";NA;0;"-";"-";"-";NA;NA;"24-001210";"WVLDIK0133_R";"Jo Packet";"EMPTY";2024-06-26;"NO2";"IC_ANIONEN";"mg/L";"NO2";"mg/L";0;"<0.02";0,02;TRUE;FALSE;FALSE;0,01;"NO2 (mg/L)"
"8";7160;"WVLDIK0133";"WVLDIK0133";NA;0;"-";"-";"-";NA;NA;"24-001210";"WVLDIK0133_R";"Jo Packet";"EMPTY";2024-06-26;"NO3";"IC_ANIONEN";"mg/L";"NO3";"mg/L";0,0685;"<0.1";0,1;TRUE;FALSE;FALSE;0,05;"NO3 (mg/L)"
"9";7161;"WVLDIK0133";"WVLDIK0133";NA;0;"-";"-";"-";NA;NA;"24-001210";"WVLDIK0133_R";"Jo Packet";"EMPTY";2024-06-26;"SO4";"IC_ANIONEN";"mg/L";"SO4";"mg/L";47,2293;"47.23";47,23;FALSE;FALSE;FALSE;47,23;"SO4 (mg/L)"
"10";7162;"WVLDIK0133";"WVLDIK0133";NA;0;"-";"-";"-";NA;NA;"24-001210";"WVLDIK0133_R";"Jo Packet";"EMPTY";2024-06-26;"PO4";"IC_ANIONEN";"mg/L";"PO4";"mg/L";0,2237;"0.22";0,22;FALSE;FALSE;FALSE;0,22;"PO4 (mg/L)"
"11";7163;"WVLDIK0133";"WVLDIK0133";NA;0;"-";"-";"-";NA;NA;"24-001210";"WVLDIK0133_R";"Jo Packet";"EMPTY";2024-06-26;"Na";"IC_KATIONEN";"mg/L";"Na";"mg/L";96,3999;"96.40";96,4;FALSE;FALSE;FALSE;96,4;"Na (mg/L)"
"12";7164;"WVLDIK0133";"WVLDIK0133";NA;0;"-";"-";"-";NA;NA;"24-001210";"WVLDIK0133_R";"Jo Packet";"EMPTY";2024-06-26;"NH4";"IC_KATIONEN";"mg/L";"NH4";"mg/L";0,0107;"<0.1";0,1;TRUE;FALSE;FALSE;0,05;"NH4 (mg/L)"
"13";7165;"WVLDIK0133";"WVLDIK0133";NA;0;"-";"-";"-";NA;NA;"24-001210";"WVLDIK0133_R";"Jo Packet";"EMPTY";2024-06-26;"K";"IC_KATIONEN";"mg/L";"K";"mg/L";17,2314;"17.23";17,23;FALSE;FALSE;FALSE;17,23;"K (mg/L)"
"14";7166;"WVLDIK0133";"WVLDIK0133";NA;0;"-";"-";"-";NA;NA;"24-001210";"WVLDIK0133_R";"Jo Packet";"EMPTY";2024-06-26;"Mg";"IC_KATIONEN";"mg/L";"Mg";"mg/L";21,2644;"21.26";21,26;FALSE;FALSE;FALSE;21,26;"Mg (mg/L)"
"15";7167;"WVLDIK0133";"WVLDIK0133";NA;0;"-";"-";"-";NA;NA;"24-001210";"WVLDIK0133_R";"Jo Packet";"EMPTY";2024-06-26;"Ca";"IC_KATIONEN";"mg/L";"Ca";"mg/L";48,9021;"48.90";48,9;FALSE;FALSE;FALSE;48,9;"Ca (mg/L)"
"16";7168;"WVLDIK0133";"WVLDIK0133";NA;0;"-";"-";"-";NA;NA;"24-001210";"WVLDIK0133_R";"Jo Packet";"EMPTY";2024-06-26;"Al";"ICP_MET_OPT8300_W";"mg/L";"Al";"mg/L";0,0069;"<0.05";0,05;TRUE;FALSE;FALSE;0,025;"Al (mg/L)"
"17";7169;"WVLDIK0133";"WVLDIK0133";NA;0;"-";"-";"-";NA;NA;"24-001210";"WVLDIK0133_R";"Jo Packet";"EMPTY";2024-06-26;"Fe";"ICP_MET_OPT8300_W";"mg/L";"Fe";"mg/L";0,0088;"<0.030";0,03;TRUE;FALSE;FALSE;0,015;"Fe (mg/L)"
"18";7170;"WVLDIK0133";"WVLDIK0133";NA;0;"-";"-";"-";NA;NA;"24-001210";"WVLDIK0133_R";"Jo Packet";"EMPTY";2024-06-26;"Mn";"ICP_MET_OPT8300_W";"mg/L";"Mn";"mg/L";0,0203;"0.02";0,02;FALSE;FALSE;FALSE;0,02;"Mn (mg/L)"
"19";7171;"WVLDIK0133";"WVLDIK0133";NA;0;"-";"-";"-";NA;NA;"24-001210";"WVLDIK0133_R";"Jo Packet";"EMPTY";2024-06-26;"S";"ICP_MET_OPT8300_W";"mg/L";"S";"mg/L";15,925;"15.93";15,93;FALSE;FALSE;FALSE;15,93;"S (mg/L)"
"20";7172;"WVLDIK0133";"WVLDIK0133";NA;0;"-";"-";"-";NA;NA;"24-001210";"WVLDIK0133_R";"Jo Packet";"EMPTY";2024-06-26;"Si";"ICP_MET_OPT8300_W";"mg/L";"Si";"mg/L";0,4366;"0.44";0,44;FALSE;FALSE;FALSE;0,44;"Si (mg/L)"
