Datum;Ca;Cl;CO3;HCO3_OEP;K;Mg;Na;SO4
23/10/2023;32,385;162,34;0,6;179,725;19,045;22,48;107,375;50,535
13/11/2023;36,145;157,51;0,6;192,46;18,535;22,13;104,115;48,685
4/12/2023;39,01;153,2;0,6;204,695;18,18;21,935;102,55;46,97
22/01/2024;44,96;150,88;0,6;213,885;17,715;22,02;99,67;48,02
19/02/2024;47,085;150,385;0,6;209,9;17,55;21,89;99,71;49,11
19/03/2024;46,57;146,16;0,99;211,57;16,805;21,135;95,4;48,235
22/04/2024;50,025;146,795;0,6;220,19;17,475;21,57;97,82;49,53
21/05/2024;48,995;144,3;1,02;217,26;17,225;21,505;96,455;48,58
26/06/2024;48,54;145,795;9,9;204,29;17,415;21,06;95,555;46,72
22/07/2024;37,4;148,62;14,4;156,625;17,49;21,41;98,63;47,685
19/08/2024;27,315;149,965;17,25;121,615;17,66;20,64;99,125;46,45
